ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,MaxDelq2PublicRecLast12M_0.0,MaxDelq2PublicRecLast12M_1.0,MaxDelq2PublicRecLast12M_2.0,MaxDelq2PublicRecLast12M_3.0,MaxDelq2PublicRecLast12M_4.0,MaxDelq2PublicRecLast12M_5.0,MaxDelq2PublicRecLast12M_6.0,MaxDelq2PublicRecLast12M_7.0,MaxDelq2PublicRecLast12M_9.0,MaxDelqEver_2.0,MaxDelqEver_3.0,MaxDelqEver_4.0,MaxDelqEver_5.0,MaxDelqEver_6.0,MaxDelqEver_7.0,MaxDelqEver_8.0
0.57377046,0.07240949,0.018276762,0.071240105,0.1392405,0.05263158,0.0,0.92,0.3253012,0.115384616,0.15789473,0.42,0.0,0.015151516,0.015151516,0.21551724,0.16348195,0.15625,0.045454547,0.055555556,0.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.44262296,0.15106118,0.002610966,0.113456465,0.2278481,0.0,0.0,1.0,0.263609,0.1923077,0.15789473,0.05,0.0,0.015151516,0.015151516,0.38793105,0.14551586,0.1875,0.0,0.2777778,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.52459013,0.06741573,0.007832898,0.044854883,0.088607594,0.0,0.0,0.86,0.45783132,0.067307696,0.15789473,0.43,0.0,0.045454547,0.045454547,0.09913793,0.20806794,0.09375,0.0,0.055555556,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8852459,0.15980025,0.03133159,0.11081794,0.32911393,0.0,0.0,1.0,0.263609,0.25,0.0,0.12,0.0,0.0,0.0,0.01724138,0.14551586,0.0625,0.06749571,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.37704918,0.23845193,0.12010444,0.22163588,0.278481,0.0,0.0,0.78,0.036144577,0.22115384,0.0,0.22,0.0,0.015151516,0.015151516,0.27586207,0.07855626,0.25,0.045454547,0.22222222,0.83,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4262295,0.50187266,0.010443864,0.28759894,0.3164557,0.05263158,0.05263158,0.83,0.036144577,0.27884614,0.10526316,0.28,0.16666667,0.015151516,0.015151516,0.00862069,0.14225054,0.15625,0.045454547,0.0,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8032787,0.5193508,0.023498695,0.14248021,0.2658228,0.0,0.0,1.0,0.263609,0.35576922,0.05263158,0.24,0.041666668,0.030303031,0.030303031,0.021551725,0.14551586,0.03125,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.59016395,0.107365794,0.06005222,0.1530343,0.06329114,0.0,0.0,0.8,0.060240965,0.048076924,0.0,0.4,0.0,0.0,0.0,0.0,0.14225054,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.39344263,0.029962547,0.018276762,0.036939315,0.06329114,0.0,0.0,1.0,0.263609,0.048076924,0.05263158,0.6,0.0,0.015151516,0.015151516,0.43103448,0.14551586,0.0625,0.0,0.11111111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.8196721,0.34956303,0.044386424,0.17414248,0.24050634,0.0,0.0,1.0,0.263609,0.1826923,0.0,0.32,0.0,0.0,0.0,0.021551725,0.072186835,0.09375,0.045454547,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
