x1,x2,x3,x4,x5,x6
0.22841644,0.15908611,0.35753727,0.5515248,0.29438484,0.44034025
0.3018975,0.63202894,0.4831632,0.399265,0.6319406,0.811079
0.6469997,0.42684215,0.46970087,0.312124,0.6177473,0.77653944
0.58568263,0.47659764,0.29252547,0.64529586,0.40411878,0.5556635
0.47620818,0.5822018,0.157767,0.5664455,0.6775167,0.2329931
0.3844393,0.7318008,0.47666568,0.370031,0.346623,0.38665998
0.71111214,0.17483395,0.5336728,0.5935876,0.494889,0.09944007
0.43330917,0.1960758,0.84555364,0.35826457,0.56826776,0.21393293
0.19868132,0.49717495,0.40993857,0.1670244,0.6198833,0.62507
0.6164764,0.2951806,0.76475096,0.5174885,0.74061376,0.58721715
0.61493474,0.4364345,0.29686356,0.54051536,0.6104255,0.6801121
0.38180196,0.5971055,0.6093422,0.40312874,0.6014194,0.4718613
0.7315788,0.61690015,0.63648075,0.32208952,0.66368127,0.36171198
0.24503464,0.50089127,0.108540595,0.28150514,0.76639235,0.7545866
0.47217476,0.52613753,0.4287246,0.40121865,0.6459825,0.7874645
0.13161927,0.6018383,0.57546705,0.23113397,0.17320302,0.03466052
0.27787632,0.37966025,0.9083668,0.27484304,0.5562508,0.44118118
0.48931336,0.41632867,0.70887315,0.2926057,0.56274635,0.4689395
0.07753724,0.29322076,0.657343,0.35752976,0.47275838,0.72534406
0.4775601,0.2701528,0.23183534,0.139658,1.0,0.37580872
0.2791604,0.39195758,0.44039443,0.61898553,0.55604887,0.78425
0.85241663,0.5757216,0.49328122,0.3849748,0.680929,0.43696874
0.33698344,0.423112,0.49305308,0.36470962,0.7718278,0.36281708
0.2704687,0.5793842,0.59518385,0.5469095,0.58429736,0.4638141
0.7751138,0.17500225,0.66970545,0.34564418,0.25594252,0.38055182
0.5002059,0.39521268,0.12648821,0.4844402,0.6624925,0.4079045
0.33391702,0.39335993,0.28027576,0.5450089,0.92780876,0.31898564
0.15587956,0.38817483,0.55251616,0.44022197,0.36000517,0.42156717
0.21218172,0.5501477,0.26663828,0.52476686,0.0,0.3658957
0.6283606,0.18698028,0.46749404,0.7043246,0.9937213,0.39398336
0.6505015,0.52079964,0.6885978,0.07873714,0.32194018,0.5409903
0.62131584,0.39789265,0.65055925,0.5107098,0.75487375,0.26241246
0.4879459,0.3439964,0.5016146,0.1255635,0.6047265,0.2795362
0.6665552,0.6430769,0.5497606,0.7158245,0.8352882,0.32534608
0.1559889,0.30092818,0.3861841,0.40363416,0.7193997,0.4433602
0.4127319,0.39280993,0.47567648,0.49737898,0.3552337,0.4078278
0.16467813,0.5173122,0.17682746,0.68419313,0.4415558,0.4087622
0.4588026,0.5735781,0.5205465,0.27156925,0.42527834,0.5591284
0.6595143,0.8905711,0.5985432,0.45494184,0.29570663,0.33901274
0.6021332,0.7256367,0.74259084,0.360691,0.52016217,0.50908923
0.73076814,0.6557469,0.5274375,0.45308885,0.41262513,0.49175167
0.6325987,0.6670656,0.5274843,0.7972482,0.41442233,0.7866479
0.73718196,0.63419783,0.7552799,0.6351213,0.69145715,0.5332739
0.5162647,0.7402632,0.1837185,0.5199238,0.652073,0.39136904
0.76883984,0.31664643,0.3468323,0.56530625,0.6944165,0.50413686
0.9117118,0.5565313,0.29779044,0.5431923,0.7034973,0.7181886
