,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.9898375519411197,0.0031232980549949674,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,73,16,Tanh()
1,0.9863236270434662,0.0028502316447374314,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,73,16,ReLU()
2,0.9917429373090961,0.0022405666298799943,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,73,32,Tanh()
3,0.9889876134554847,0.002758343316972002,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,73,32,ReLU()
4,0.9927906903085532,0.0018880209221899123,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,73,64,Tanh()
5,0.9917399373863878,0.0023863065619293897,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,73,64,ReLU()
6,0.993571934600951,0.0016086324241439626,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,73,128,Tanh()
7,0.9939088569450426,0.0017188259548984177,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,73,128,ReLU()
8,0.9942367964585612,0.001391203978266575,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,73,256,Tanh()
9,0.9953064350332255,0.001503806227564291,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,73,256,ReLU()
10,0.9938228393061633,0.0013285658623038924,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,73,16,Tanh()
11,0.9927263854818532,0.0020110493393182332,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,73,16,ReLU()
12,0.994377728463155,0.0013565444817613482,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,73,32,Tanh()
13,0.9938532312021546,0.0013028538866109035,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,73,32,ReLU()
14,0.99477293461659,0.0012271474998239386,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,73,64,Tanh()
15,0.9950848399144473,0.0008991586146063677,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,73,64,ReLU()
16,0.9950857189733835,0.0013256172517297946,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,73,128,Tanh()
17,0.9963998457440703,0.0010927019607296694,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,73,128,ReLU()
18,0.9954963922167884,0.0013073689291718562,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,73,256,Tanh()
19,0.9978371954621137,0.0009180651234234217,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,73,256,ReLU()
20,0.9953828727928322,0.0012113355854917573,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,73,16,Tanh()
21,0.9952535438580682,0.0007699132992917956,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,73,16,ReLU()
22,0.9957138991751581,0.0012813161841310015,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,73,32,Tanh()
23,0.9957300914746356,0.002137001828392018,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,73,32,ReLU()
24,0.9961643725599693,0.0012490712852043187,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,73,64,Tanh()
25,0.9972796392053059,0.0012376346510042917,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,73,64,ReLU()
26,0.9966300090056961,0.001099614068463231,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,73,128,Tanh()
27,0.998391771838983,0.0010163104157307808,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,73,128,ReLU()
28,0.9969365179995645,0.0011723222086318975,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,73,256,Tanh()
29,0.9987782012353911,0.0011885304989180153,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,73,256,ReLU()
30,0.9972427655905506,0.0009548158801161108,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,73,16,Tanh()
31,0.9959323775021209,0.002050811950915733,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,73,16,ReLU()
32,0.9977359639496631,0.001018792152632377,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,73,32,Tanh()
33,0.9978560404644886,0.0012908504295587107,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,73,32,ReLU()
34,0.9981344819590514,0.0010075591688070125,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,73,64,Tanh()
35,0.9987750149996136,0.0009152725686578255,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,73,64,ReLU()
36,0.9984013336515336,0.001163522668539242,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,73,128,Tanh()
37,0.99877223103069,0.0011940417886724891,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,73,128,ReLU()
38,0.9986158641174747,0.001269243422321119,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,73,256,Tanh()
39,0.9991513510266387,0.0009597722550252928,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,128,73,256,ReLU()
40,0.9967222286114431,0.0016097491425228986,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,16,73,16,Tanh()
41,0.9965778399348288,0.001571523459505378,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,16,73,16,ReLU()
42,0.9970988686675222,0.0015313820216153872,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,16,73,32,Tanh()
43,0.9969639658667682,0.0012694716077539861,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,16,73,32,ReLU()
44,0.9973535648436949,0.0016137203703137867,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,16,73,64,Tanh()
45,0.9978440551705743,0.001727697802970494,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,16,73,64,ReLU()
46,0.9975896604828229,0.0016348066421716517,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,16,73,128,Tanh()
47,0.9982239771595985,0.001573859519761561,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,16,73,128,ReLU()
48,0.9979204305435323,0.001513986394713122,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,16,73,256,Tanh()
49,0.9987261487513382,0.0012512547899940433,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,16,73,256,ReLU()
50,0.9984131766700128,0.0013953797386867073,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,32,73,16,Tanh()
51,0.9968711286049674,0.0028403739706069466,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,32,73,16,ReLU()
52,0.9986091898752057,0.0013577494506242453,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,32,73,32,Tanh()
53,0.9986952269922696,0.001140943011173238,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,32,73,32,ReLU()
54,0.9985785120168824,0.001396411133640764,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,32,73,64,Tanh()
55,0.9987194663225859,0.0013001267469164505,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,32,73,64,ReLU()
56,0.9989000488535451,0.0012327118677544836,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,32,73,128,Tanh()
57,0.998882172396838,0.001281034383736693,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,32,73,128,ReLU()
58,0.9987897842624512,0.0012001642689884958,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,32,73,256,Tanh()
59,0.9989767178107334,0.0011528079650153606,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,32,73,256,ReLU()
60,0.9990653980327485,0.001029196376232781,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,64,73,16,Tanh()
61,0.9983704121747573,0.0012752090651095879,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,64,73,16,ReLU()
62,0.9989733094107353,0.00131983373089712,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,64,73,32,Tanh()
63,0.999010795600279,0.0010800423583616524,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,64,73,32,ReLU()
64,0.9989180170553242,0.001294951918065242,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,64,73,64,Tanh()
65,0.9990070210668704,0.0010671380817480246,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,64,73,64,ReLU()
66,0.9989027153887763,0.0013027144453104736,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,64,73,128,Tanh()
67,0.9991390063743347,0.0009905667368936082,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,64,73,128,ReLU()
68,0.9988141500598205,0.0014558606736642336,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,64,73,256,Tanh()
69,0.9992338394443173,0.001021950218230264,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,64,73,256,ReLU()
70,0.9990871243949695,0.0010007462902164505,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,128,73,16,Tanh()
71,0.9987067891296825,0.000991957981111534,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,128,73,16,ReLU()
72,0.9992184666400522,0.0010270156710921183,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,128,73,32,Tanh()
73,0.9990850375474472,0.0009309296938820559,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,128,73,32,ReLU()
74,0.9992981581033511,0.0009159264149896551,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,128,73,64,Tanh()
75,0.9987837900628852,0.0011748835889314063,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,128,73,64,ReLU()
76,0.9991325257847408,0.0012148865798137876,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,128,73,128,Tanh()
77,0.9993010603528443,0.001022370398580283,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,128,73,128,ReLU()
78,0.9990561656555794,0.0011864292959212867,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,128,73,256,Tanh()
79,0.9991756411696102,0.0010412068450203914,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,128,73,256,ReLU()
80,0.9977336415290251,0.001929271542074234,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.02,16,73,16,Tanh()
81,0.9969546462612076,0.001412546064593542,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.02,16,73,16,ReLU()
82,0.9977857326871545,0.0017813138602620767,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.02,16,73,32,Tanh()
83,0.9976777518426221,0.0016500415131860023,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.02,16,73,32,ReLU()
84,0.9982672232459091,0.0018173338783862255,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.02,16,73,64,Tanh()
85,0.9981694834097528,0.0018057409113795171,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.02,16,73,64,ReLU()
86,0.9982113976399102,0.001728847073736205,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.02,16,73,128,Tanh()
87,0.9977820792572409,0.0029730946297598067,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.02,16,73,128,ReLU()
88,0.9983853906163592,0.0012612805830742072,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.02,16,73,256,Tanh()
89,0.9979772520775743,0.0024169224267897695,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.02,16,73,256,ReLU()
90,0.9987040974704163,0.001352549903839322,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.02,32,73,16,Tanh()
91,0.9978949192030792,0.0018591680494167225,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.02,32,73,16,ReLU()
92,0.9987529369009011,0.001436889452193443,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.02,32,73,32,Tanh()
93,0.9986770075501396,0.0013149187406221816,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.02,32,73,32,ReLU()
94,0.9987128956816752,0.00143349727009298,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.02,32,73,64,Tanh()
95,0.9983558893532978,0.0019050757177609026,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.02,32,73,64,ReLU()
96,0.9987801371975568,0.0014473066137067662,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.02,32,73,128,Tanh()
97,0.9984841136773948,0.0016291327761020712,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.02,32,73,128,ReLU()
98,0.9989090297080706,0.0010849632955877869,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.02,32,73,256,Tanh()
99,0.9989830298716873,0.001186303171976988,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.02,32,73,256,ReLU()
100,0.9990957433504726,0.0013078321912166685,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.02,64,73,16,Tanh()
101,0.9973746007183892,0.0030832058158441838,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.02,64,73,16,ReLU()
102,0.9990588177938917,0.0014176278469789382,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.02,64,73,32,Tanh()
103,0.9986674398094457,0.0015086230735930088,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.02,64,73,32,ReLU()
104,0.999049814355964,0.001325447289965472,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.02,64,73,64,Tanh()
105,0.9988085431656046,0.00137397158139191,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.02,64,73,64,ReLU()
106,0.9990682079725847,0.001310678089896201,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.02,64,73,128,Tanh()
107,0.9988665144771183,0.0014257734218509337,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.02,64,73,128,ReLU()
108,0.9989702248002681,0.0013685287789400999,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.02,64,73,256,Tanh()
109,0.9989673581196337,0.0012751694096938054,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.02,64,73,256,ReLU()
110,0.999258484993583,0.0009170627185132109,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.02,128,73,16,Tanh()
111,0.9959601358911069,0.0059439059699976865,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.02,128,73,16,ReLU()
112,0.9992305507363517,0.0009966495829772533,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.02,128,73,32,Tanh()
113,0.9987037649298168,0.0013269832673465255,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.02,128,73,32,ReLU()
114,0.9992031508588777,0.0010529738860752466,"{'batch_size': 16, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.02,128,73,64,Tanh()
