,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.9935048003562306,0.0018423702636223,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,73,16,Tanh()
1,0.9906363932206208,0.002834544376651339,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,73,16,ReLU()
2,0.9946934170454892,0.0013296584304184184,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,73,32,Tanh()
3,0.9936464536182366,0.002477165230185396,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,73,32,ReLU()
4,0.9951470611399887,0.0013873389106794202,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,73,64,Tanh()
5,0.9960265548065582,0.001523520587681842,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,73,64,ReLU()
6,0.9955117122323507,0.00142796689096989,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,73,128,Tanh()
7,0.9980887765402262,0.0012997585817841183,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,73,128,ReLU()
8,0.9954262563556044,0.00172005396273483,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,73,256,Tanh()
9,0.9986309405145842,0.001271619660721237,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,73,256,ReLU()
10,0.995287842964957,0.0013442936057828099,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,73,16,Tanh()
11,0.9948041177785407,0.0018772416895555136,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,73,16,ReLU()
12,0.995778425883786,0.001412478092701005,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,73,32,Tanh()
13,0.9970039715171355,0.0013516192101099762,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,73,32,ReLU()
14,0.9962168716308033,0.0015537339513695472,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,73,64,Tanh()
15,0.9983796541498723,0.0009516073990004377,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,73,64,ReLU()
16,0.9963762178593724,0.0015579081482577223,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,73,128,Tanh()
17,0.9986518979119555,0.0013140211668460566,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,73,128,ReLU()
18,0.9969061001326607,0.0015381659466289965,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,73,256,Tanh()
19,0.9987346547898295,0.0012133655710758722,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,73,256,ReLU()
20,0.9967008268856308,0.0014027528000551807,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,73,16,Tanh()
21,0.9963294453747865,0.001030972383086567,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,73,16,ReLU()
22,0.9972338745050493,0.001388395575779829,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,73,32,Tanh()
23,0.9983304212036016,0.0010201127875051259,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,73,32,ReLU()
24,0.9975584826844303,0.0012127332327212658,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,73,64,Tanh()
25,0.9989954809482746,0.0010153458975053408,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,73,64,ReLU()
26,0.9982201789136175,0.0012943416497261774,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,73,128,Tanh()
27,0.9989275627772006,0.0012035653374038626,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,73,128,ReLU()
28,0.9987285894525462,0.001157166140624579,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,73,256,Tanh()
29,0.9991452458861086,0.0009117919326675357,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,73,256,ReLU()
30,0.9982477614343577,0.0008460773480131894,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,73,16,Tanh()
31,0.9983801156981578,0.0012860009358854367,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,73,16,ReLU()
32,0.9985974120663006,0.0011636033567051125,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,73,32,Tanh()
33,0.9992738795343732,0.0008324366108040864,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,73,32,ReLU()
34,0.9983678012511543,0.0015219975660375159,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,73,64,Tanh()
35,0.9991078788240122,0.0012419408869604699,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,73,64,ReLU()
36,0.998753312349965,0.0009391856341195545,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,73,128,Tanh()
37,0.9990343246825917,0.0014326525161562158,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,73,128,ReLU()
38,0.9987957321660424,0.000946963109123081,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,73,256,Tanh()
