2024-06-04 21:42:44,330 Best: 0.999301 using {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,330 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=73, out_features=128, bias=True)
    (act): ReLU()
    (output): Linear(in_features=128, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-06-04 21:42:44,330 0.989838 (0.003123) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,330 0.986324 (0.002850) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,330 0.991743 (0.002241) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,330 0.988988 (0.002758) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,330 0.992791 (0.001888) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,330 0.991740 (0.002386) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,330 0.993572 (0.001609) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.993909 (0.001719) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,331 0.994237 (0.001391) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.995306 (0.001504) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,331 0.993823 (0.001329) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.992726 (0.002011) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,331 0.994378 (0.001357) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.993853 (0.001303) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,331 0.994773 (0.001227) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.995085 (0.000899) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-04 21:42:44,331 0.995086 (0.001326) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-04 21:42:44,331 0.996400 (0.001093) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
