2024-07-16 01:15:38,351 Best: 0.999090 using {'batch_size': 32, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,351 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module3Layers(
    (act): ReLU()
    (dense0): Linear(in_features=73, out_features=256, bias=True)
    (dense1): Linear(in_features=256, out_features=256, bias=True)
    (dense2): Linear(in_features=256, out_features=256, bias=True)
    (output): Linear(in_features=256, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-07-16 01:15:38,351 0.994515 (0.001366) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,351 0.994201 (0.002242) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,351 0.994978 (0.001386) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,351 0.995194 (0.001981) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,351 0.995411 (0.001744) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.997938 (0.001285) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.995197 (0.002179) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.998380 (0.001493) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.995142 (0.001950) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.998857 (0.001240) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.995711 (0.001574) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.996139 (0.000929) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.995767 (0.001886) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.997391 (0.001950) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.996285 (0.001861) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.998811 (0.001128) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.996774 (0.001332) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,352 0.998508 (0.001101) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,352 0.998008 (0.001203) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998744 (0.001291) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.997078 (0.001426) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.997705 (0.001007) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.997650 (0.001219) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998217 (0.001312) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.997737 (0.001440) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998952 (0.000798) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998263 (0.001516) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998833 (0.001184) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998321 (0.002098) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998709 (0.001280) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998665 (0.001138) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.996793 (0.001684) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998077 (0.001386) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998620 (0.001472) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998428 (0.001438) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998955 (0.001011) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998762 (0.001427) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998463 (0.001115) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-07-16 01:15:38,356 0.998031 (0.002010) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-07-16 01:15:38,356 0.998814 (0.001481) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 73, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
