,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.6946291536267484,0.013857319512367265,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,13,16,Tanh()
1,0.6813170377447624,0.015318823929480564,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,13,16,ReLU()
2,0.7060210939501724,0.014030471612701217,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,13,32,Tanh()
3,0.6952373729203848,0.016063938940889512,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,13,32,ReLU()
4,0.7135655761563429,0.0118596227751186,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,13,64,Tanh()
5,0.7073833674729475,0.011009365372979515,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,13,64,ReLU()
6,0.7195709281264834,0.008878860908309775,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,13,128,Tanh()
7,0.712162193663733,0.008709452776449134,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,13,128,ReLU()
8,0.7222820920896993,0.0063891673424783845,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,13,256,Tanh()
9,0.7186433534837244,0.006489392130566379,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,13,256,ReLU()
10,0.7158190861847519,0.011300959183910522,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,13,16,Tanh()
11,0.7092191985480909,0.01332616690193313,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,13,16,ReLU()
12,0.7206511593136112,0.008165875559744441,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,13,32,Tanh()
13,0.7159419559631178,0.009950961884533142,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,13,32,ReLU()
14,0.7226779398741222,0.007081494587330088,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,13,64,Tanh()
15,0.7213633191155446,0.006921509401938533,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,13,64,ReLU()
16,0.7238744010729701,0.005926889546497183,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,13,128,Tanh()
17,0.7223979685193231,0.006823869863831136,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,13,128,ReLU()
18,0.7246083289040862,0.00561110073530546,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,13,256,Tanh()
19,0.7219043376062466,0.007088276742912433,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,13,256,ReLU()
20,0.7229675109828281,0.006884314482857115,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,13,16,Tanh()
21,0.7215043099763314,0.006059776711279397,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,13,16,ReLU()
22,0.7237713142128763,0.006164699861190963,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,13,32,Tanh()
23,0.7242564919882717,0.005461206421445992,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,13,32,ReLU()
24,0.7247681126532762,0.005558076991666033,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,13,64,Tanh()
25,0.7240109317481742,0.006128932641971548,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,13,64,ReLU()
26,0.7250460685901279,0.005659023200145896,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,13,128,Tanh()
27,0.724772125810066,0.007805451754691103,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,13,128,ReLU()
28,0.7248214984986021,0.005206046856611531,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,13,256,Tanh()
29,0.7237431943338974,0.008308202104792361,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,13,256,ReLU()
30,0.7252692395067883,0.006313913210838373,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,13,16,Tanh()
31,0.7216944436972917,0.006398467856263171,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,13,16,ReLU()
32,0.7248555156218253,0.005793408879232773,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,13,32,Tanh()
33,0.7242736255664101,0.006419665164509664,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,13,32,ReLU()
34,0.7249442445232344,0.005529347308228135,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,13,64,Tanh()
35,0.7247522090357148,0.008482929772294916,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,13,64,ReLU()
36,0.7246850612700946,0.00553847243827468,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,13,128,Tanh()
37,0.7249033148700339,0.009097299977383736,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,13,128,ReLU()
38,0.724709996384623,0.005469314232242931,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,13,256,Tanh()
39,0.7239645139957264,0.010216973975046407,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,128,13,256,ReLU()
40,0.7240294341941416,0.006330137939642269,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,16,13,16,Tanh()
41,0.7247237557793309,0.00589586687599703,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,16,13,16,ReLU()
42,0.7238743606635877,0.005506343547692781,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,16,13,32,Tanh()
43,0.7249091565513773,0.006900410825354779,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,16,13,32,ReLU()
44,0.7238163681486681,0.005451558944705403,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,16,13,64,Tanh()
45,0.7255154917575595,0.009230919558818758,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,16,13,64,ReLU()
