,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.712235614985971,0.012692270386656303,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,13,16,Tanh()
1,0.693178711882745,0.017281594223533373,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,13,16,ReLU()
2,0.7216788583036167,0.006769675651925747,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,13,32,Tanh()
3,0.7124450467126147,0.008092250368425235,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,13,32,ReLU()
4,0.7235331791967952,0.005814551197500335,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,13,64,Tanh()
5,0.7199665688128215,0.006420719181332448,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,13,64,ReLU()
6,0.7232775317646158,0.0054763940118826996,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,13,128,Tanh()
7,0.7217102715472614,0.007502633781698709,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,13,128,ReLU()
8,0.7226623014431326,0.005888658304572766,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,13,256,Tanh()
9,0.7222826805513305,0.009216103068417041,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,13,256,ReLU()
10,0.7231075850557517,0.006197645035426406,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,13,16,Tanh()
11,0.7175730276464579,0.008647098093532386,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,13,16,ReLU()
12,0.7244193114923146,0.005812650788576515,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,13,32,Tanh()
13,0.7228268762297239,0.007291180203603638,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,13,32,ReLU()
14,0.7246352365015931,0.006265678044444793,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,13,64,Tanh()
15,0.7229346783596264,0.007465681218262603,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,13,64,ReLU()
16,0.7240774279125031,0.005241321782651122,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,13,128,Tanh()
17,0.7232611205041879,0.009364642321926709,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,13,128,ReLU()
18,0.7233161959668153,0.005173557021973961,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,13,256,Tanh()
19,0.7229095159423222,0.010481671166258798,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,13,256,ReLU()
20,0.724734947915463,0.005936143858888396,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,13,16,Tanh()
21,0.7242690315247483,0.0067365985371564225,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,13,16,ReLU()
22,0.7249203625782348,0.00543499826732833,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,13,32,Tanh()
23,0.724201982256998,0.0073971957691777585,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,13,32,ReLU()
24,0.7249889625560348,0.0049937625923020595,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,13,64,Tanh()
25,0.7244285500873664,0.008594895600836873,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,13,64,ReLU()
26,0.7236833758200104,0.004976077918695096,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,13,128,Tanh()
27,0.7227279591127767,0.010398609952118634,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,13,128,ReLU()
28,0.7259495137804203,0.00681052120752198,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,13,256,Tanh()
29,0.7220371177856466,0.01140664616431767,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,13,256,ReLU()
30,0.725335546252137,0.005988773724855856,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,13,16,Tanh()
31,0.7250553299154573,0.007830382530122951,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,13,16,ReLU()
32,0.72493743175392,0.005349826112693831,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,13,32,Tanh()
33,0.724370648493557,0.009693088225341028,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,13,32,ReLU()
34,0.7266019232592995,0.006179589220395488,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,13,64,Tanh()
35,0.7237402747560189,0.010428107347647058,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,13,64,ReLU()
36,0.7279407795449727,0.00762645759897863,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,13,128,Tanh()
37,0.721961451217099,0.012267341560373915,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,13,128,ReLU()
38,0.7255264427001904,0.010009581005346763,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,13,256,Tanh()
39,0.71818498228238,0.012302148443081687,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,128,13,256,ReLU()
40,0.7255260285040206,0.006423344936646877,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,16,13,16,Tanh()
41,0.724143211861467,0.007942663688500192,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,16,13,16,ReLU()
42,0.7261427009353383,0.006032935229095682,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,16,13,32,Tanh()
43,0.7245402062621156,0.008849454019308417,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,16,13,32,ReLU()
44,0.7237114275081566,0.007679144561368211,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,16,13,64,Tanh()
45,0.724042155572839,0.009916814223852382,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,16,13,64,ReLU()
46,0.7239768009735631,0.007686054613584706,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,16,13,128,Tanh()
47,0.7244457190237144,0.009864226970962068,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,16,13,128,ReLU()
48,0.7176839741314287,0.008308971491382466,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,16,13,256,Tanh()
49,0.7223656814227841,0.01015127497235794,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,16,13,256,ReLU()
50,0.7280215503236349,0.008001831220918553,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,32,13,16,Tanh()
51,0.7260364873992812,0.010302309508476501,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,32,13,16,ReLU()
52,0.7273761619749479,0.006517027347570609,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,32,13,32,Tanh()
53,0.7259041466719148,0.009505072281416907,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,32,13,32,ReLU()
54,0.724528133959123,0.008092791869704003,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,32,13,64,Tanh()
