2024-05-30 04:34:50,307 Best: 0.729593 using {'batch_size': 32, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=13, out_features=16, bias=True)
    (act): Tanh()
    (output): Linear(in_features=16, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-30 04:34:50,307 0.694629 (0.013857) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.681317 (0.015319) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.706021 (0.014030) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.695237 (0.016064) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.713566 (0.011860) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.707383 (0.011009) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.719571 (0.008879) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.712162 (0.008709) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.722282 (0.006389) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.718643 (0.006489) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.715819 (0.011301) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.709219 (0.013326) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.720651 (0.008166) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.715942 (0.009951) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.722678 (0.007081) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.721363 (0.006922) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.723874 (0.005927) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.722398 (0.006824) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-30 04:34:50,307 0.724608 (0.005611) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-30 04:34:50,307 0.721904 (0.007088) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 13, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
