,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.5842873890871307,0.0522211756990427,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,8,16,Tanh()
1,0.5012180078749846,0.12442117015016389,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,8,16,ReLU()
2,0.7303197332622396,0.05876735052892805,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,8,32,Tanh()
3,0.5559008722639214,0.07227917248842494,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,8,32,ReLU()
4,0.7549291456462,0.03657625156674541,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,8,64,Tanh()
5,0.6828296453522551,0.12277274761123934,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,8,64,ReLU()
6,0.7714812934935673,0.024912342143051516,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,8,128,Tanh()
7,0.7766734513213842,0.027141884121473458,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,8,128,ReLU()
8,0.7974533106380651,0.025553032431367854,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,8,256,Tanh()
9,0.7873605300575586,0.03423243037994186,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,8,256,ReLU()
10,0.6756546080964687,0.06805409865315132,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,8,16,Tanh()
11,0.7234081525231396,0.032928836237173936,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,8,16,ReLU()
12,0.7547910599783985,0.028113795355974792,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,8,32,Tanh()
13,0.6682497299809962,0.05960865147777739,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,8,32,ReLU()
14,0.7769383604719522,0.0297015742210171,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,8,64,Tanh()
15,0.7558986847681938,0.02973959460834668,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,8,64,ReLU()
16,0.7951980709022053,0.02994476376005083,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,8,128,Tanh()
17,0.7966796207429282,0.02183392905608206,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,8,128,ReLU()
18,0.8175506371081307,0.02755676923808861,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,8,256,Tanh()
19,0.809499080568202,0.028623315419394547,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,8,256,ReLU()
20,0.7728479998085941,0.02868702570420617,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,8,16,Tanh()
21,0.7509633013412083,0.039060843711894215,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,8,16,ReLU()
22,0.7754985439481563,0.02796857383895693,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,8,32,Tanh()
