,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.7612164014328097,0.05524523016626094,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,8,16,Tanh()
1,0.6502555439344844,0.11362350343046938,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,8,16,ReLU()
2,0.7844175792625404,0.013744418495036815,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,8,32,Tanh()
3,0.7455947083111166,0.062086797580135696,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,8,32,ReLU()
4,0.8300009912090014,0.025081244812971443,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,8,64,Tanh()
5,0.8117085537918871,0.02322890837733548,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,8,64,ReLU()
6,0.8369786411549978,0.02029631470658317,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,8,128,Tanh()
7,0.8318264051242087,0.025091077339037707,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,8,128,ReLU()
8,0.8362816503288079,0.022249205756102664,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,8,256,Tanh()
9,0.8438446262800268,0.0220881657963943,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,8,256,ReLU()
10,0.7963856076452975,0.03112256139394945,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,8,16,Tanh()
11,0.7691515250946777,0.02192032197558121,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,8,16,ReLU()
12,0.8304600918748205,0.024702623303494976,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,8,32,Tanh()
13,0.8033990265644013,0.03179587086790342,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,8,32,ReLU()
14,0.8359148517288052,0.021362055104631072,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,8,64,Tanh()
15,0.8328403435735476,0.02841895311522428,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,8,64,ReLU()
16,0.8364460713943919,0.02184406959600376,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,8,128,Tanh()
17,0.8465751507321275,0.01831081327716248,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,8,128,ReLU()
18,0.835806451061619,0.021897123549442944,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,8,256,Tanh()
19,0.8489771406696471,0.016472124077173605,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,8,256,ReLU()
20,0.8250249853027631,0.030868923953964605,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,8,16,Tanh()
21,0.7756056799693751,0.03726394432575198,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,8,16,ReLU()
22,0.836861097439263,0.022635767234731877,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,8,32,Tanh()
