2024-05-29 17:25:01,468 Best: 0.849094 using {'batch_size': 32, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=8, out_features=64, bias=True)
    (act): Tanh()
    (output): Linear(in_features=64, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-29 17:25:01,468 0.584287 (0.052221) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.501218 (0.124421) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.730320 (0.058767) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.555901 (0.072279) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.754929 (0.036576) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.682830 (0.122773) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.771481 (0.024912) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.776673 (0.027142) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.797453 (0.025553) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.787361 (0.034232) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 8, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.675655 (0.068054) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.723408 (0.032929) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.754791 (0.028114) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.668250 (0.059609) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:25:01,468 0.776938 (0.029702) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:25:01,468 0.755899 (0.029740) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 8, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
