,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.6399694889397407,0.0665960025698477,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,23,16,Tanh()
1,0.6076659038901602,0.03136801877651669,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,23,16,ReLU()
2,0.651678108314264,0.05725368141703527,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,23,32,Tanh()
3,0.6456140350877193,0.054721652496676446,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,23,32,ReLU()
4,0.6520213577421815,0.054490278600657256,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,23,64,Tanh()
5,0.6364225781845919,0.04401617015448301,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,23,64,ReLU()
6,0.660183066361556,0.0614810403537995,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,23,128,Tanh()
7,0.651487414187643,0.045977235810970164,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,23,128,ReLU()
8,0.6599542334096109,0.060571779324089116,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,23,256,Tanh()
9,0.6450419527078566,0.046465643926752974,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,23,256,ReLU()
10,0.6456521739130435,0.05068812023218315,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,23,16,Tanh()
