2024-05-29 17:41:34,069 Best: 0.668612 using {'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,069 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=23, out_features=16, bias=True)
    (act): Tanh()
    (output): Linear(in_features=16, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-29 17:41:34,069 0.619336 (0.061340) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,069 0.622082 (0.065349) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,069 0.637033 (0.056651) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,069 0.622464 (0.058324) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,069 0.641190 (0.062902) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,069 0.636499 (0.066816) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,069 0.651793 (0.058315) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.649161 (0.057371) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.653585 (0.055188) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.653471 (0.054294) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.657704 (0.066820) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.647101 (0.066668) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.647216 (0.057642) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.650534 (0.062915) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.653585 (0.056704) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.656369 (0.060580) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.657208 (0.056961) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.651297 (0.058319) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,070 0.656903 (0.061250) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,070 0.654844 (0.054268) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,073 0.657170 (0.060730) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.651449 (0.059496) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.656026 (0.060174) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.660336 (0.058593) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.657513 (0.061415) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.657399 (0.058776) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.659764 (0.062507) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.660755 (0.056190) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.660183 (0.063743) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.659954 (0.052633) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.656331 (0.061348) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.652250 (0.055031) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.659001 (0.063938) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.654272 (0.054815) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.658924 (0.064244) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.666934 (0.053576) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.658658 (0.063986) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.659153 (0.055809) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.658238 (0.064016) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.650458 (0.038013) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.657818 (0.060957) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.656789 (0.060743) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 17:41:34,074 0.656979 (0.060481) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 17:41:34,074 0.650381 (0.054003) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
