,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.7973717599369599,0.010561038546803694,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,37,16,Tanh()
1,0.7967871504460613,0.010189497971040195,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,37,16,ReLU()
2,0.7984125993227429,0.010331071200660062,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,37,32,Tanh()
3,0.7982977947831168,0.009504417936002704,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,37,32,ReLU()
4,0.7994858994795973,0.009718004168052314,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,37,64,Tanh()
5,0.7994594875831722,0.010013929173914162,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,37,64,ReLU()
6,0.8002011352639167,0.010060089238375562,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,37,128,Tanh()
7,0.8005809992882125,0.010074176247933756,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,37,128,ReLU()
8,0.8009713195975354,0.00992811718493872,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,37,256,Tanh()
9,0.8016417340806953,0.010230840352030594,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,37,256,ReLU()
