2024-05-30 09:37:27,988 Best: 0.802750 using {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 37, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,988 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=37, out_features=256, bias=True)
    (act): Tanh()
    (output): Linear(in_features=256, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-30 09:37:27,988 0.797372 (0.010561) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,988 0.796787 (0.010189) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,988 0.798413 (0.010331) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,988 0.798298 (0.009504) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,988 0.799486 (0.009718) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,988 0.799459 (0.010014) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,988 0.800201 (0.010060) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,988 0.800581 (0.010074) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,988 0.800971 (0.009928) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,989 0.801642 (0.010231) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 37, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,989 0.799881 (0.009644) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,989 0.799522 (0.010089) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,989 0.800651 (0.009735) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,989 0.800458 (0.009805) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-30 09:37:27,989 0.801143 (0.009692) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-30 09:37:27,989 0.801768 (0.009901) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 37, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
