,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.7409893445146463,0.005712063357063192,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.001,128,28,128,Tanh()
1,0.7529283243693724,0.005070167492942627,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.001,128,28,128,ReLU()
2,0.760009648107774,0.005658008166587603,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.001,128,28,256,Tanh()
3,0.7403840603830281,0.0035658732705456673,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.001,128,28,256,ReLU()
4,0.7567977864178521,0.003908673565552623,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.01,128,28,128,Tanh()
5,0.7200436740143663,0.011351277438580854,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.01,128,28,128,ReLU()
6,0.7339734609591406,0.006670662351211576,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.01,128,28,256,Tanh()
7,0.6749288360985757,0.008497889661968499,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.01,128,28,256,ReLU()
8,0.7394510864654674,0.003685781676250043,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.02,128,28,128,Tanh()
9,0.7409214468956167,0.012154153455202635,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.02,128,28,128,ReLU()
10,0.7352506011843903,0.005457837868168997,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.02,128,28,256,Tanh()
11,0.7094055584249013,0.00844460450151091,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 28, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.02,128,28,256,ReLU()
