,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.548591674573055,0.16497662585577255,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,6,16,Tanh()
1,0.5328043465370019,0.23080376727221377,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,6,16,ReLU()
2,0.6791582661290322,0.0764191390714091,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,6,32,Tanh()
3,0.6231847426470588,0.07023990968720019,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,6,32,ReLU()
4,0.7660104364326377,0.13738322889603943,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,6,64,Tanh()
5,0.761937411053131,0.10756095167074745,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,6,64,ReLU()
6,0.9105980194497153,0.04139190642125608,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,6,128,Tanh()
7,0.8456957127609108,0.07950471753576421,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,6,128,ReLU()
8,0.9442266069734344,0.028794035268179346,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,6,256,Tanh()
9,0.9177738081119544,0.042409469198239694,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,6,256,ReLU()
10,0.6969046489563567,0.11760163039477398,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,6,16,Tanh()
11,0.6792724146110057,0.13639023292454108,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,6,16,ReLU()
12,0.8429183467741936,0.06333680850492095,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,6,32,Tanh()
13,0.7436462286527514,0.10422688251700248,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,6,32,ReLU()
14,0.9226295659392789,0.035466415753466755,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,6,64,Tanh()
15,0.9028507471537001,0.0625419764053129,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,6,64,ReLU()
16,0.9361569022770398,0.030944072645733327,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,6,128,Tanh()
17,0.9370063448766602,0.033910971264159165,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,6,128,ReLU()
18,0.9611250296489564,0.028394892689590747,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,6,256,Tanh()
19,0.9623636148007589,0.019092707741499213,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,6,256,ReLU()
20,0.8588183408444025,0.08239022152327538,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,6,16,Tanh()
21,0.7304346537001898,0.1616627850931472,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,6,16,ReLU()
22,0.9324285460151802,0.029414899198677884,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,6,32,Tanh()
23,0.8831416034155598,0.09522536004467702,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,6,32,ReLU()
24,0.946848315939279,0.0407633813680332,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,6,64,Tanh()
25,0.9110316354364325,0.07198480405313797,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,6,64,ReLU()
26,0.9619729898007592,0.02508090191583039,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,6,128,Tanh()
27,0.96026595113852,0.019656850890242345,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,6,128,ReLU()
28,0.9822980906072105,0.015613631825973938,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,6,256,Tanh()
29,0.9746190109108159,0.020999973058993503,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,6,256,ReLU()
30,0.944594995256167,0.02250073521181997,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,6,16,Tanh()
31,0.9112888401328274,0.05557711018342418,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,6,16,ReLU()
32,0.9548972663662239,0.02400456992403484,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,6,32,Tanh()
33,0.947575456593928,0.028140897518146125,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,6,32,ReLU()
34,0.9776995374762809,0.015767263942431088,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,6,64,Tanh()
35,0.9609234167457306,0.02912724533481163,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,6,64,ReLU()
36,0.9896310187381404,0.01054366517195998,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,6,128,Tanh()
37,0.9769849976280834,0.01936705596463083,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,6,128,ReLU()
38,0.9957475984345351,0.002531615076673864,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,6,256,Tanh()
39,0.988872005455408,0.00888873461692994,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,128,6,256,ReLU()
40,0.9307770991461102,0.026662411495060587,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,16,6,16,Tanh()
41,0.8925373576850095,0.05491956761404112,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,16,6,16,ReLU()
42,0.9591941413662239,0.02275557987081092,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.01,16,6,32,Tanh()
43,0.9361569022770398,0.02963634662400683,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.01,16,6,32,ReLU()
44,0.9715718394212525,0.017740912307728746,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.01,16,6,64,Tanh()
45,0.9619285163662239,0.023826904279224317,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.01,16,6,64,ReLU()
46,0.9858137156072105,0.013916127105169766,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.01,16,6,128,Tanh()
47,0.9823648007590133,0.016653951768561104,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.01,16,6,128,ReLU()
48,0.9938167101518026,0.0038932376394297777,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.01,16,6,256,Tanh()
49,0.9915507886622391,0.008511018897357883,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.01,16,6,256,ReLU()
50,0.9765165441176471,0.01946017127409406,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,32,6,16,Tanh()
