2024-06-02 15:57:51,481 Best: 0.998482 using {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module2Layers(
    (dense0): Linear(in_features=6, out_features=256, bias=True)
    (act): Tanh()
    (dense1): Linear(in_features=256, out_features=256, bias=True)
    (output): Linear(in_features=256, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-06-02 15:57:51,482 0.640599 (0.102552) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.608614 (0.189098) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.879045 (0.081350) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.789297 (0.101012) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.951124 (0.029352) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.909024 (0.063771) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.983113 (0.013408) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.972331 (0.024156) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.993850 (0.004686) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.983459 (0.013628) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.817925 (0.063915) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.795430 (0.141554) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.947552 (0.037456) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.909356 (0.063807) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.987298 (0.009848) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.963435 (0.028078) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.996138 (0.002401) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,482 0.986974 (0.011669) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,482 0.996518 (0.002282) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,486 0.993058 (0.001938) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,486 0.934895 (0.063259) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,486 0.881166 (0.063501) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,486 0.986595 (0.010814) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,486 0.979553 (0.006958) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995736 (0.002853) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.984196 (0.014858) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.994955 (0.005339) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993035 (0.005165) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995736 (0.004855) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.991864 (0.009852) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.986595 (0.016414) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.952809 (0.042934) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.996507 (0.002588) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993471 (0.003051) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995725 (0.005724) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993806 (0.004861) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.996127 (0.005098) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993035 (0.007680) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995748 (0.005148) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.990703 (0.011298) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.988470 (0.010086) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.970456 (0.021121) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.996897 (0.002643) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.983492 (0.017898) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995357 (0.003632) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993839 (0.002219) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.994966 (0.004558) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.990714 (0.007363) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.994598 (0.005262) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.988392 (0.010487) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995346 (0.004566) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993794 (0.005286) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.996127 (0.005098) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993448 (0.005130) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.988046 (0.007898) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.994218 (0.006484) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.990758 (0.007626) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995748 (0.005148) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.988794 (0.007462) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995748 (0.005148) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.993393 (0.009468) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.992310 (0.007033) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,487 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,487 0.991919 (0.006257) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.984497 (0.011963) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.994977 (0.005987) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.986093 (0.010626) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.989207 (0.009748) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.995748 (0.005552) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.992700 (0.004600) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.995748 (0.005552) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.990758 (0.006767) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.995368 (0.005308) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.987243 (0.009469) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.998482 (0.002213) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.987667 (0.010197) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 6, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.996897 (0.002643) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.984597 (0.013094) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.996518 (0.002282) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.993883 (0.004977) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-02 15:57:51,488 0.994587 (0.004355) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-02 15:57:51,488 0.989944 (0.007146) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 6, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
