,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.6913989089625222,0.010859448611025635,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.001,128,14,128,Tanh()
1,0.7239384115292976,0.007741628787627261,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.001,128,14,128,ReLU()
2,0.6925871902630385,0.010466994308085665,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.001,128,14,256,Tanh()
3,0.7334938066740232,0.007310736768889756,"{'batch_size': 128, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.001,128,14,256,ReLU()
4,0.7231456845183416,0.010205393212374904,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.01,128,14,128,Tanh()
5,0.7361138347322409,0.005898607897171472,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.01,128,14,128,ReLU()
6,0.712030852661162,0.014512496128771719,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.01,128,14,256,Tanh()
7,0.7295088524981583,0.006325725577784002,"{'batch_size': 128, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.01,128,14,256,ReLU()
8,0.7201110176528207,0.013199958026733976,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",128,0.02,128,14,128,Tanh()
9,0.7287860776074698,0.008195413098018392,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",128,0.02,128,14,128,ReLU()
10,0.718770033319204,0.018090255608817746,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",128,0.02,128,14,256,Tanh()
11,0.7233621160777574,0.007745554745235402,"{'batch_size': 128, 'lr': 0.02, 'max_epochs': 128, 'module__n_features': 14, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",128,0.02,128,14,256,ReLU()
