,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.7794973094705522,0.03762144010577948,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,20,16,Tanh()
1,0.7000542562495841,0.03895439728662855,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,20,16,ReLU()
2,0.7765646279745282,0.04228503855162917,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,20,32,Tanh()
3,0.7599601485574523,0.03330844436688004,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,20,32,ReLU()
4,0.8122704004817827,0.04963575561587081,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,20,64,Tanh()
5,0.7943594757271818,0.05911992521814399,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,20,64,ReLU()
6,0.8190209568978737,0.03962968659882302,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,20,128,Tanh()
7,0.8204267523038749,0.03606379134318346,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,20,128,ReLU()
8,0.8343389284266098,0.030317211461997874,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,20,256,Tanh()
9,0.8207413535241054,0.04241398401684286,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,20,256,ReLU()
