,auc_mean,std_mean,params,batch_size,lr,max_epochs,module__n_features,module__n_neurons,module__nonlin
0,0.7711234342138943,0.03973274291630553,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,16,20,16,Tanh()
1,0.7475231677557498,0.05905617761912844,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,16,20,16,ReLU()
2,0.8112396343589099,0.04615419072779819,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,16,20,32,Tanh()
3,0.7922890889084159,0.04146593815258063,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,16,20,32,ReLU()
4,0.8392161269335293,0.028418803396486055,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,16,20,64,Tanh()
5,0.8271489711543225,0.02796542733129385,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,16,20,64,ReLU()
6,0.8446854530213592,0.018176765796710837,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,16,20,128,Tanh()
7,0.842622322847701,0.02347030552788768,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,16,20,128,ReLU()
8,0.8447789831138601,0.016691562207322767,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,16,20,256,Tanh()
9,0.8548450200503304,0.014567938523267501,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,16,20,256,ReLU()
10,0.8168341705596001,0.042023599404091026,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,32,20,16,Tanh()
11,0.7952256259552751,0.03517029560681121,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,32,20,16,ReLU()
12,0.8452497268129665,0.028128312847725708,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,32,20,32,Tanh()
13,0.8288686494459881,0.03642704986624459,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,32,20,32,ReLU()
14,0.843684842290379,0.01712497468875237,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,32,20,64,Tanh()
15,0.850252457950307,0.026242637340131374,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,32,20,64,ReLU()
16,0.846404618216906,0.015823310464678587,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,32,20,128,Tanh()
17,0.864913593147616,0.021069039811284704,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,32,20,128,ReLU()
18,0.8456857998743355,0.01755202235041288,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,32,20,256,Tanh()
19,0.8790134598305844,0.01906172094085696,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,32,20,256,ReLU()
20,0.8397466976400804,0.022525081067990338,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,64,20,16,Tanh()
21,0.8253373167184014,0.03709997107515577,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,64,20,16,ReLU()
22,0.845717216016691,0.01759770771521024,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,64,20,32,Tanh()
23,0.8436548481572667,0.026141759871160766,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,64,20,32,ReLU()
24,0.8459045547395861,0.016591167776748336,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,64,20,64,Tanh()
25,0.8596627140673657,0.02569454033509315,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,64,20,64,ReLU()
26,0.8455606630609204,0.0166775855796039,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,64,20,128,Tanh()
27,0.8754189283210586,0.024478315838454643,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,64,20,128,ReLU()
28,0.8550975659599722,0.0212995696380728,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,64,20,256,Tanh()
29,0.8985217114423658,0.02005598780616103,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,64,20,256,ReLU()
30,0.8448102526573248,0.016335167476960576,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.001,128,20,16,Tanh()
31,0.8428739305244399,0.028474698602574684,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.001,128,20,16,ReLU()
32,0.845623099528626,0.016374448746295487,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}",16,0.001,128,20,32,Tanh()
33,0.861597159734445,0.022089859424090627,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}",16,0.001,128,20,32,ReLU()
34,0.8460295596139993,0.016154352083633722,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}",16,0.001,128,20,64,Tanh()
35,0.8853578493590841,0.013141966003077767,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}",16,0.001,128,20,64,ReLU()
36,0.8587235136118536,0.018537343100735782,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}",16,0.001,128,20,128,Tanh()
37,0.8851408536805264,0.024184441799944043,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}",16,0.001,128,20,128,ReLU()
38,0.8504681928784018,0.01473235206963173,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}",16,0.001,128,20,256,Tanh()
39,0.8760588984500686,0.027622173909247698,"{'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}",16,0.001,128,20,256,ReLU()
40,0.8441841874331326,0.01492248461230957,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}",16,0.01,16,20,16,Tanh()
41,0.8459672111056283,0.02054911109571458,"{'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}",16,0.01,16,20,16,ReLU()
