2024-05-29 23:24:10,338 Best: 0.908399 using {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,338 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=20, out_features=256, bias=True)
    (act): ReLU()
    (output): Linear(in_features=256, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-29 23:24:10,338 0.779497 (0.037621) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,338 0.700054 (0.038954) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.776565 (0.042285) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,339 0.759960 (0.033308) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.812270 (0.049636) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,339 0.794359 (0.059120) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.819021 (0.039630) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,339 0.820427 (0.036064) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.834339 (0.030317) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,339 0.820741 (0.042414) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.809706 (0.041128) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,339 0.789166 (0.052864) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,339 0.813704 (0.031323) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
